Dates,xlp,xly,xle,xlk,xlf,xlv,xli,xlb,xlre,xlu
2016-06-01,52.881845,78.909959,66.452431,43.866433,23.673414,71.322877,55.663109,46.766143,31.539617,48.880168
2016-05-31,52.345073,78.959778,66.432565,43.975897,23.623681,71.063917,55.61338,46.70644,31.658635,48.751226
2016-05-27,52.68304,79.039497,66.690859,43.886333,23.683361,70.894601,55.623328,46.945248,31.643758,48.433822
2016-05-26,52.623398,78.670803,66.65112,43.677351,23.524212,70.575884,55.41448,46.965149,31.519782,48.35447
2016-05-25,52.414655,78.511372,66.929294,43.53803,23.663469,70.565922,55.573603,47.47261,31.543586,47.808933
2016-05-24,52.335135,78.082893,65.88616,43.239485,23.414799,70.127692,55.195685,46.895497,31.331337,47.947796
2016-05-23,51.897764,77.156181,65.558317,42.443361,23.06666,69.131701,54.628811,46.587039,31.123056,47.471691
2016-05-20,51.848064,77.425223,65.727211,42.522972,23.086552,69.410577,54.728261,46.049724,31.025859,47.898203
2016-05-19,52.116449,76.917032,65.339755,42.015444,22.927403,68.773144,54.449798,45.721368,30.815595,47.789095
2016-05-18,51.609497,76.986784,65.329826,42.24433,23.146234,69.360775,54.966947,45.562165,30.878078,47.312989
2016-05-17,52.21585,77.43519,65.965639,42.164715,22.748362,69.071937,55.155904,46.268631,31.658635,48.215606
2016-05-16,53.259573,78.322042,65.657661,42.592632,22.87767,69.799013,55.424424,46.507439,32.19223,49.048791
2016-05-13,52.921607,77.833777,64.564859,42.005491,22.758307,68.862779,54.748152,45.721368,31.758808,48.989276
2016-05-12,53.597536,78.770455,65.399368,42.164715,23.036819,69.022142,55.444314,46.16913,32.223969,49.227331
2016-05-11,53.309274,78.620984,65.220545,42.284137,23.026872,69.430494,55.563655,45.970125,32.114869,48.939683
2016-05-10,53.736702,80.23525,65.021849,42.592632,23.275542,70.277084,56.031079,46.129328,32.709955,48.761143
2016-05-09,53.209869,79.218861,63.899243,42.045298,22.947297,69.689453,55.086288,45.373108,32.588956,48.711549
2016-05-06,52.921607,78.999637,64.843026,42.045298,23.006978,68.90262,55.334917,45.930323,32.263639,48.433822
2016-05-05,52.653221,78.421687,64.992046,41.736798,22.907511,69.310972,54.966947,45.562165,32.095033,48.751226
2016-05-04,52.643279,78.929885,64.465514,41.716895,22.917458,69.022142,54.996781,45.79102,32.06528,48.939683
2016-05-03,52.484236,79.288613,65.409297,41.846266,23.096499,69.689453,55.683,46.258682,31.609045,48.374308
2016-05-02,52.58364,80.025994,66.9889,42.234376,23.394905,69.908572,56.140477,47.0348,31.450354,48.413984
2016-04-29,51.987226,78.919919,67.058441,41.92588,23.186021,69.510175,55.852066,46.865644,31.123056,48.027145
2016-04-28,52.096569,78.521339,67.167722,42.294087,23.31533,70.615725,56.180258,47.144254,31.422583,47.739501
2016-04-27,52.046868,79.378299,68.181047,42.831471,23.564,70.954358,56.727242,47.592015,31.390845,47.808933
2016-04-26,51.798363,79.45801,66.909421,43.030503,23.524212,71.034039,56.329434,47.194004,31.509864,47.124529
2016-04-25,52.007107,79.268687,65.856358,43.239485,23.375011,71.302953,55.832175,46.815894,31.421592,47.055097
2016-04-22,51.649259,79.179001,66.601451,43.229531,23.424744,71.581837,56.100695,46.975097,31.202401,46.965827
2016-04-21,51.460397,79.338439,65.647732,43.995801,23.205915,71.432437,55.961464,46.646741,30.809643,46.549236
2016-04-20,52.394774,79.617448,66.03518,44.155025,23.414799,71.014122,56.100695,46.855696,31.539617,47.541123
2016-04-19,52.991188,79.517803,65.449036,44.065461,23.235756,70.635641,56.190202,46.994998,31.856996,48.761143
2016-04-18,53.021007,79.956242,64.167474,44.31425,22.947297,70.386644,55.792394,46.009926,31.966096,48.681794
2016-04-15,52.722802,79.208894,63.124347,44.125172,22.778201,69.739248,55.742669,45.800968,31.84708,48.493333
2016-04-14,52.394774,78.989671,63.988659,44.294346,22.857776,69.789051,55.663109,45.592014,31.62888,48.225523
2016-04-13,52.63334,78.989671,63.839638,44.3043,22.808042,69.74921,55.563655,45.562165,31.754839,48.285038
2016-04-12,53.040888,77.893562,63.541598,43.85648,22.300755,69.101815,54.748152,45.114403,31.876833,48.582603
