Dates,GDP,UMCSENT,CPIAUCSL
2010-07-16,0.0,0.0,-0.00166137420038
2010-07-30,-0.0100052081906,-0.107894736842,0.0
2010-08-13,0.0,0.0,0.00183242095958
2010-08-27,-0.00155503949252,0.0162241887906,0.0
2010-09-17,0.0,0.0,0.00250453803911
2010-09-30,0.000253859348199,0.0,0.0
2010-10-01,0.0,-0.0101596516691,0.0
2010-10-15,0.0,0.0,0.00206036076963
2010-10-29,-0.0106390123987,-0.00733137829912,0.0
2010-11-17,0.0,0.0,0.00276715152903
2010-11-23,0.00135775481664,0.0,0.0
2010-11-24,0.0,0.0576070901034,0.0
2010-12-15,0.0,0.0,0.000506768324697
2010-12-22,-0.00034575802362,0.0,0.0
2010-12-23,0.0,0.0405027932961,0.0
2011-01-14,0.0,0.0,0.00301470923084
2011-01-28,-0.0124388186775,-0.00402684563758,0.0
2011-02-15,0.0,0.0,-0.000375888150355
2011-02-17,0.0,0.0,0.00267607678073
2011-02-25,-0.000632128254788,0.044474393531,0.0
2011-03-17,0.0,0.0,0.00489630945761
2011-03-25,0.000699818316399,-0.129032258065,0.0
2011-04-15,0.0,0.0,0.00717446754815
2011-04-28,-0.0146944885819,0.0,0.0
2011-04-29,0.0,0.0340740740741,0.0
2011-05-13,0.0,0.0,0.00621844821248
2011-05-26,0.000259889113978,0.0,0.0
2011-05-27,0.0,0.0644699140401,0.0
2011-06-15,0.0,0.0,0.00317278986849
2011-06-24,0.000519643178351,0.0,0.0
2011-07-01,0.0,-0.0376850605653,0.0
2011-07-15,0.0,0.0,-0.00223303648479
2011-07-29,-0.010007923772,-0.109090909091,0.0
2011-08-18,0.0,0.0,0.00275348522726
2011-08-26,-0.000466548474387,-0.124018838305,0.0
2011-09-15,0.0,0.0,0.00387320038155
2011-09-29,0.00106689427078,0.0,0.0
2011-09-30,0.0,0.0663082437276,0.0
2011-10-19,0.0,0.0,0.0037548760316
2011-10-27,-0.0169653771773,0.0,0.0
2011-10-28,0.0,0.0218487394958,0.0
2011-11-16,0.0,0.0,0.00073257810121
2011-11-22,-0.00116458094825,0.0,0.0
2011-11-23,0.0,0.0476973684211,0.0
2011-12-16,0.0,0.0,-0.00013230429989
2011-12-22,-0.000316186787345,0.0973312401884,0.0
2012-01-19,0.0,0.0,-0.00185764783047
2012-01-27,-0.0187847643243,0.0729613733906,0.0
2012-02-15,0.0,0.0,-0.000250415352387
2012-02-17,0.0,0.0,0.00124107154645
2012-02-24,0.0,0.004,0.0
